Metodo,Nota
Individual,5.414369396699438
Individual,7.497345446583585
Individual,6.7829784980519925
Individual,4.993705286081908
Individual,5.9213997480314635
Individual,8.151436537097151
Individual,4.073320756606925
Individual,6.071087371143823
Individual,7.765936258705534
Individual,5.633259597734899
Individual,5.821113848377946
Individual,6.405291031063109
Individual,7.991389626124288
Individual,5.861098003315349
Individual,6.056018040353934
Individual,6.065648724381482
Individual,8.705930082725455
Individual,8.686786088973786
Individual,7.504053897878877
Individual,6.886186399174856
Individual,7.237368575896242
Individual,7.9907320281507985
Individual,5.5641661315976085
Individual,7.675829044782104
Individual,5.246119332250988
Individual,5.86224849754659
Individual,7.407105195800301
Individual,5.071319299774031
Individual,6.359931279811334
Individual,5.6382451041403145
Grupo,6.969942566522463
Grupo,4.681269805085348
Grupo,5.605620205941138
Grupo,6.570110488861875
Grupo,8.034716188582724
Grupo,7.043727885488806
Grupo,7.20256132430713
Grupo,7.819400439992057
Grupo,6.408417291291854
Grupo,7.4552645914265625
Grupo,6.475170133740946
Grupo,5.645097455291454
Grupo,6.8481901856204095
Grupo,7.716425276164552
Grupo,7.5047301458998215
Grupo,7.189352554969062
Grupo,9.353128739343953
Grupo,7.571620944277901
Grupo,8.080862405343613
Grupo,9.214329004648157
Grupo,6.0353232091548765
Grupo,6.265090610815542
Grupo,8.769341002610638
Grupo,6.481743538283044
Grupo,7.2267149072729975
Grupo,8.162384372481913
Grupo,8.001635752163853
Grupo,8.779397563782998
Grupo,8.546079723330122
Grupo,8.162453402735164
Revisao,7.381833028602247
Revisao,8.635890134234575
Revisao,8.251417595605494
Revisao,6.938987632047635
Revisao,9.133839237181482
Revisao,8.645789227662853
Revisao,8.036392064504877
Revisao,7.813526351212469
Revisao,7.04135908423937
Revisao,8.159619258846906
Revisao,8.374751295556516
Revisao,7.335076012605377
Revisao,8.929763239279623
Revisao,7.122237562813573
Revisao,6.301519719966047
Revisao,8.831781672714161
Revisao,7.677307169518314
Revisao,7.8991763317495876
Revisao,7.329986621739957
Revisao,6.7152297914260775
Revisao,9.004189899779375
Revisao,7.448904812922462
Revisao,9.328761990518352
Revisao,8.645846548968583
Revisao,7.748193482626032
Revisao,7.131278079098506
Revisao,7.414030410623634
Revisao,7.029981495123864
Revisao,9.669690687670549
Revisao,8.13155298418386
