Metodo,Nota
A,13.725308313819948
A,10.098971926484658
A,12.271552694395506
A,13.766792908212867
A,11.497483857100477
A,13.546671688382613
A,10.37314813199135
A,9.954792683072125
A,12.569100918117204
A,11.431235348141172
A,12.963082033907748
A,9.033168102719326
A,13.068396953205777
A,15.897455890903972
A,11.96306102785278
A,12.051213193364763
A,12.26932422695802
A,9.20703643381232
A,12.639219959535465
A,9.591885383976052
A,11.358480602814293
A,13.864304324405605
A,10.897174565849886
A,12.7518734843511
A,13.519108580934557
B,14.3344890273152
B,12.35486183588647
B,13.601029669578303
B,16.351293610865945
B,11.569945084403034
B,13.66905678336059
B,13.33747031421427
B,14.144896835716567
B,14.897858740624676
B,15.930429161626463
B,13.67572112958901
B,14.974809595972184
B,14.599688173838208
B,14.56921675744616
B,13.323291282168233
B,12.80321423746892
B,12.679948264855163
B,13.092275348721053
B,14.386023891039471
B,14.913139271753995
B,14.388162617428275
B,13.341253884565111
B,16.16716413191897
B,15.822638748357848
B,13.575199864699792
C,14.429539172218634
C,15.66927944040536
C,17.14748823857066
C,15.932594470430352
C,16.22351331638306
C,15.224295841041686
C,16.0931521637629
C,17.50790778689298
C,15.188430584078976
C,15.686300052260234
C,15.829961419514516
C,15.868842962502349
C,13.664544461107404
C,13.060070747363937
C,14.17444840780161
C,15.71832498402217
C,16.220013015804174
C,14.810123072294289
C,17.290434727727497
C,15.313871233375957
C,15.526410797705012
C,15.24784696828154
C,15.674234830570665
C,16.415816296256686
C,16.36534946928603
